package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,milul,,numeric,51,19063.0 | 1688.0 | 16068.0 | 7370.0 | 78601.0,1074,78601,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,milut,,numeric,51,19381.0 | 1742.0 | 16340.0 | 7595.0 | 81061.0,1107,81061,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,miltt,,numeric,51,92209.0 | 13849.0 | 55763.0 | 77192.0 | 169201.0,1107,294142,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,umilgt4,,numeric,51,43.0 | 10.0 | 54.0 | 45.0 | 940.0,0,940,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,umille4,,numeric,51,254.0 | 44.0 | 148.0 | 86.0 | 127.0,4,514,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,rmilgt4,,numeric,51,0.0 | 3.0 | 286.0 | 21.0 | 22.0,0,286,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,rmille4,,numeric,51,602.0 | 1003.0 | 987.0 | 409.0 | 1070.0,0,2158,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,rpassveh,,numeric,51,56.0 | 57.9 | 57.7 | 56.5 | 69.3,41.2,100,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,rtusing,,numeric,51,16.9 | 39.7 | 26.0 | 13.4 | 17.2,0,39.7,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,rtrucom,,numeric,51,27.1 | 2.4 | 16.3 | 30.1 | 13.5,0,34.4,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,upassveh,,numeric,51,72.7 | 85.1 | 58.7 | 68.8 | 86.2,55.1,811,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,utrusing,,numeric,51,14.3 | 14.2 | 33.2 | 14.8 | 11.0,2.6,34.7,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,utrucomb,,numeric,51,13.0 | 0.7 | 8.1 | 16.4 | 2.8,0.3,19.3,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
