source_file,column,dtype,non_null,sample_values
Highway5.dta,state,object,54,AL; AK; AZ
Highway5x.dta,varexp,float32,51,287785.0; 103604.0; 148973.0
Highway5x.dta,lnvarexp,float32,51,12.569969177246094; 11.548331260681152; 11.911520004272461
Highway5x.dta,lntotexp,float32,51,13.63896369934082; 11.548331260681152; 13.613632202148438
Highway5x.dta,h,float32,51,0.478884756565094; 0.5786412954330444; 0.44501161575317383
Highway5x.dta,lnh,float32,51,-0.7362952828407288; -0.5470725297927856; -0.8096548914909363
Highway5x.dta,vmt,float32,51,45762.0; 3841.0; 35047.0
Highway5x.dta,lnvmt,float32,51,10.731209754943848; 8.253487586975098; 10.464445114135742
Highway5x.dta,iaa,float32,51,105.90093994140625; 62.56195068359375; 98.50541687011719
Highway5x.dta,iac,float32,51,93.88384246826172; 32.511783599853516; 82.24219512939453
Highway5x.dta,ias,float32,51,91.31069946289062; 55.07386016845703; 92.0309066772461
Highway5x.dta,ial,float32,51,-0.5651783347129822; 2.85670804977417; -0.5581817626953125
Highway5x.dta,iau,float32,51,-0.17457330226898193; 1.6376240253448486; -1.4420685768127441
Highway5x.dta,iai,float32,51,-30.524351119995117; -23.461278915405273; -26.393129348754883
Highway5x.dta,iam,float32,51,117.64271545410156; 75.4258041381836; 108.46887969970703
Highway5x.dta,icc,float32,51,83.23038482666016; 16.895511627197266; 68.66402435302734
Highway5x.dta,ics,float32,51,80.94922637939453; 28.62042236328125; 76.83662414550781
Highway5x.dta,icl,float32,51,-0.501044750213623; 1.4845553636550903; -0.46602606773376465
Highway5x.dta,icu,float32,51,-0.1547636240720749; 0.8510297536849976; -1.2039834260940552
Highway5x.dta,ici,float32,51,-27.060604095458984; -12.192203521728516; -22.035629272460938
Highway5x.dta,icm,float32,51,104.29322052001953; 39.1967887878418; 90.5606918334961
Highway5x.dta,iss,float32,51,78.7305908203125; 48.482025146484375; 85.98194885253906
Highway5x.dta,isl,float32,51,-0.4873122572898865; 2.5147864818573; -0.5214938521385193
Highway5x.dta,isu,float32,51,-0.1505218893289566; 1.4416154623031616; -1.3472850322723389
Highway5x.dta,isi,float32,51,-26.318933486938477; -20.653179168701172; -24.658374786376953
